id,Placering,Huvudman,Drift,Typ,Modell,Stadsdelsnämnder,Anläggningsnummer,Cykelpump,Dricksfontän,lon,lat
175,Mikrofonvägen 5 - Telefonplan,Danfo,Danfo,Toalett,Enkel,Hägersten-Älvsjö,G008,Nej,Nej,17.99697663168507,59.29797147456701
176,Nordenflychtsvägen 11 - Kristineberg,Danfo,Danfo,Toalett,Enkel,Kungsholmen,G031,Ja,Nej,18.00344241676478,59.333467769565516
177,Norr Mälarstrand 3,Danfo,Danfo,Toalett,Trippel,Kungsholmen,G060,Ja,Nej,18.052481046789055,59.3268873057295
178,Norra Bantorget,Danfo,Danfo,Toalett,Enkel,Norra innerstaden,G014,Nej,Nej,18.05532734106138,59.334959955535595
179,"Östra Nydalsbron, Nydalsparken - Tensta",Danfo,Danfo,Toalett,Enkel,Järva,G029,Nej,Nej,17.904897129288198,59.395526604527774
180,Odengatan 77 - Odenplan,Danfo,Danfo,Toalett,Enkel,Norra innerstaden,G092,Ja,Nej,18.04880149409006,59.3425826621642
181,Odengatan 90 - Vasaparken,Danfo,Danfo,Toalett,Dubbel,Norra innerstaden,G064,Nej,Nej,18.042743782060775,59.340696924247666
182,Ringvägen 15 - Zinkensdamm,Danfo,Danfo,Toalett,Enkel,Södermalm,G036,Nej,Nej,18.05064612713017,59.317742171155075
183,S:T Eriksplan 6C,Danfo,Danfo,Toalett,Enkel,Norra innerstaden,G033,Ja,Nej,18.0374075330351,59.33969789910568
184,Skeppsbron 13 - Skeppsbrokajen,Danfo,Danfo,Toalett,Trippel,Södermalm,G024,nej,nej,18.07588336899666,59.32542201966147
185,Smedsuddsvägen 30 - Smedsuddsbadet,Danfo,Danfo,Toalett,Stor,Kungsholmen,G003,Nej,Ja,18.02178033409177,59.32584199495188
186,Smedsuddsvägen 6 - Rålambshovsparken,Danfo,Danfo,Toalett,Stor,Kungsholmen,G004,Nej,Ja,18.025992785501472,59.328009025879155
187,Spånga Stationsplan 9,Danfo,Danfo,Toalett,Dubbel,Järva,G015,Nej,Nej,17.899406138590525,59.38279361768097
188,Stora Mejtens Gränd 12,Danfo,Danfo,Toalett,Enkel,Södermalm,G025,Nej,Nej,18.091207354520332,59.31161224511755
189,Sturegatan 12 - Humlegården,Danfo,Danfo,Toalett,Enkel,Norra innerstaden,G001,Nej,Ja,18.073690503695858,59.33744880204998
190,Sveavägen 67A - Observatiorielunden,Danfo,Danfo,Toalett,Enkel,Norra innerstaden,G006,Ja,Nej,18.056708768144937,59.34222458384866
191,Svärdlångsgatan 10 - Årstaberg,Danfo,Danfo,Toalett,Enkel,Enskede-Årsta-Vantör,G012,Ja,Nej,18.030447863625138,59.29995415941577
192,Tegnérlunden 2,Danfo,Danfo,Toalett,Enkel,Norra innerstaden,G019,Ja,Nej,18.05529873134851,59.338585925242924
193,Tjärhovsplan,Danfo,Danfo,Toalett,Enkel,Södermalm,G021,Ja,Nej,18.083647354125244,59.31645268513766
194,Trissan Parklek - Bredäng,Danfo,Danfo,Toalett,Enkel,Skärholmen,G010,Nej,Nej,17.931585929645443,59.29667998121347
195,Valhallavägen 78 - Östra Station,Danfo,Danfo,Toalett,Trippel,Norra innerstaden,G054,Ja,Nej,18.07216523913102,59.34542054735475
196,Valhallavägen 157 - Karlaplan,Danfo,Danfo,Toalett,Enkel,Norra innerstaden,G069,Ja,Nej,18.09282674300151,59.34053119503043
197,Sveavägen 127 - Vanadislunden,Danfo,Danfo,Toalett,Enkel,Norra innerstaden,G042,Ja,Nej,18.05217626941641,59.34787612166714
198,Vittangiplan 28 - Vällingby Torg,Danfo,Danfo,Toalett,Enkel,Hässelby-Vällingby,G080,Nej,Nej,17.87215342819445,59.362249139254935
199,Andholmsvägen 5 - Vårbergstoppen,Danfo,Danfo,Toalett,Enkel,Skärholmen,G094,Nej,Nej,17.880609303381927,59.272373446902684
200,Wollmar Yxkullsgatan,Danfo,Danfo,Toalett,Enkel,Södermalm,G056,Nej,Nej,18.056522152462566,59.31607058259165
201,Österholmsstigen - Västerholmsparken,Danfo,Danfo,Toalett,Enkel,Skärholmen,G039,Nej,Nej,17.89884320877838,59.27154444167871
202,Sveavägen 39A - Adolf Fredriks Kyrka,Danfo,Danfo,Toalett,Enkel,Norra innerstaden,G067,Ja,Nej,18.06105337426585,59.33791221601433
